Ano,Valor (mm),Anomalia (mm)
1981,90.5,-4.3
1982,120.2,25.4
1983,133.7,38.9
1984,172.2,77.4
1985,49.6,-45.2
1986,50.1,-44.7
1987,168.9,74.1
1988,19,-75.8
1989,107.8,13
1990,36.2,-58.6
1991,144.4,49.6
1992,268.4,173.6
1993,64.5,-30.3
1994,38.4,-56.4
1995,28.1,-66.7
1996,49.8,-45
1997,249.7,154.9
1998,9.2,-85.6
1999,74.8,-20
2000,168.8,74
2001,117.5,22.7
2002,202.3,107.5
2003,76.5,-18.3
2004,122.8,28
2005,56.5,-38.3
2006,77.1,-17.7
2007,49.1,-45.7
2008,116,21.2
2009,70.7,-24.1
2010,116.9,22.1
2011,192.4,97.6
2012,25.8,-69
2013,2.2,-92.6
2014,0,-94.8
2015,127.5,32.7
2016,63.6,-31.2
2017,155.1,60.3
2018,34.6,-60.2
2019,6.6,-88.2
2020,47.8,-47
